"","x","y","layer"
"71",-123.411014803379,41.7401692517554,1
"72",-123.408320713379,41.7401692517554,1
"73",-123.405626623379,41.7401692517554,1
"74",-123.402932533379,41.7401692517554,1
"75",-123.400238443379,41.7401692517554,1
"76",-123.397274944379,41.7401692517554,1
"77",-123.394580854379,41.7401692517554,1
"78",-123.391886764379,41.7401692517554,1
"79",-123.389192674379,41.7401692517554,1
"80",-123.386498584379,41.7401692517554,1
"81",-123.383804494379,41.7401692517554,1
"82",-123.381110404379,41.7401692517554,1
"83",-123.378416314379,41.7401692517554,1
"84",-123.375722224379,41.7401692517554,1
"85",-123.373028134379,41.7401692517554,1
"86",-123.370334044379,41.7401692517554,1
"87",-123.367639954379,41.7401692517554,1
"88",-123.364676455379,41.7401692517554,1
"89",-123.361982365379,41.7401692517554,1
"90",-123.359288275379,41.7401692517554,1
"91",-123.356594185379,41.7401692517554,1
"92",-123.353900095379,41.7401692517554,1
"93",-123.351206005379,41.7401692517554,1
"94",-123.348511915379,41.7401692517554,1
"95",-123.345817825379,41.7401692517554,1
"96",-123.343123735379,41.7401692517554,1
"97",-123.340429645379,41.7401692517554,1
"98",-123.337735555379,41.7401692517554,1
"99",-123.335041465379,41.7401692517554,1
"100",-123.332077966379,41.7401692517554,1
"101",-123.329383876379,41.7401692517554,1
"102",-123.326689786379,41.7401692517554,1
"103",-123.323995696379,41.7401692517554,1
"104",-123.321301606379,41.7401692517554,1
"105",-123.318607516379,41.7401692517554,1
"106",-123.315913426379,41.7401692517554,1
"107",-123.313219336379,41.7401692517554,1
"108",-123.310525246379,41.7401692517554,1
"109",-123.307831156379,41.7401692517554,1
"110",-123.305137066379,41.7401692517554,1
"111",-123.302173567379,41.7401692517554,1
"112",-123.299479477379,41.7401692517554,1
"113",-123.296785387379,41.7401692517554,1
"114",-123.294091297379,41.7401692517554,1
"115",-123.291397207379,41.7401692517554,1
"116",-123.288703117379,41.7401692517554,1
"117",-123.601217557379,41.7374751617554,1
"118",-123.598523467379,41.7374751617554,1
"119",-123.595829377379,41.7374751617554,1
"120",-123.593135287379,41.7374751617554,1
"121",-123.590441197379,41.7374751617554,1
"122",-123.587747107379,41.7374751617554,1
"123",-123.584783608379,41.7374751617554,1
"124",-123.582089518379,41.7374751617554,1
"125",-123.579395428379,41.7374751617554,1
"126",-123.576701338379,41.7374751617554,1
"127",-123.574007248379,41.7374751617554,1
"128",-123.571313158379,41.7374751617554,1
"129",-123.568619068379,41.7374751617554,3
"130",-123.565924978379,41.7374751617554,4
"131",-123.563230888379,41.7374751617554,3
"132",-123.560536798379,41.7374751617554,2
"133",-123.557842708379,41.7374751617554,2
"134",-123.554879209379,41.7374751617554,2
"135",-123.552185119379,41.7374751617554,1
"136",-123.549491029379,41.7374751617554,1
"137",-123.546796939379,41.7374751617554,1
"138",-123.544102849379,41.7374751617554,2
"139",-123.541408759379,41.7374751617554,2
"140",-123.538714669379,41.7374751617554,2
"141",-123.536020579379,41.7374751617554,3
"142",-123.533326489379,41.7374751617554,3
"143",-123.530632399379,41.7374751617554,3
"144",-123.527938309379,41.7374751617554,3
"145",-123.525244219379,41.7374751617554,3
"146",-123.522280720379,41.7374751617554,3
"147",-123.519586630379,41.7374751617554,2
"148",-123.516892540379,41.7374751617554,2
"149",-123.514198450379,41.7374751617554,2
"150",-123.511504360379,41.7374751617554,2
"151",-123.508810270379,41.7374751617554,2
"152",-123.506116180379,41.7374751617554,3
"153",-123.503422090379,41.7374751617554,3
"154",-123.500728000379,41.7374751617554,1
"155",-123.498033910379,41.7374751617554,1
"156",-123.495339820379,41.7374751617554,1
"157",-123.492645730379,41.7374751617554,1
"158",-123.489682231379,41.7374751617554,1
"159",-123.486988141379,41.7374751617554,1
"160",-123.484294051379,41.7374751617554,1
"161",-123.481599961379,41.7374751617554,1
"162",-123.478905871379,41.7374751617554,1
"163",-123.476211781379,41.7374751617554,1
"164",-123.473517691379,41.7374751617554,1
"165",-123.470823601379,41.7374751617554,1
"166",-123.468129511379,41.7374751617554,1
"167",-123.465435421379,41.7374751617554,1
"168",-123.462741331379,41.7374751617554,1
"169",-123.459777832379,41.7374751617554,1
"170",-123.457083742379,41.7374751617554,1
"171",-123.454389652379,41.7374751617554,1
"172",-123.451695562379,41.7374751617554,1
"173",-123.449001472379,41.7374751617554,1
"174",-123.446307382379,41.7374751617554,1
"175",-123.443613292379,41.7374751617554,1
"176",-123.440919202379,41.7374751617554,1
"177",-123.438225112379,41.7374751617554,1
"178",-123.435531022379,41.7374751617554,1
"179",-123.432836932379,41.7374751617554,1
"180",-123.430142842379,41.7374751617554,1
"181",-123.427179343379,41.7374751617554,1
"182",-123.424485253379,41.7374751617554,1
"183",-123.421791163379,41.7374751617554,1
"184",-123.419097073379,41.7374751617554,1
"185",-123.416402983379,41.7374751617554,1
"186",-123.413708893379,41.7374751617554,1
"187",-123.411014803379,41.7374751617554,1
"188",-123.408320713379,41.7374751617554,1
"189",-123.405626623379,41.7374751617554,1
"190",-123.402932533379,41.7374751617554,1
"191",-123.400238443379,41.7374751617554,1
"192",-123.397274944379,41.7374751617554,1
"193",-123.394580854379,41.7374751617554,1
"194",-123.391886764379,41.7374751617554,1
"195",-123.389192674379,41.7374751617554,1
"196",-123.386498584379,41.7374751617554,1
"197",-123.383804494379,41.7374751617554,1
"198",-123.381110404379,41.7374751617554,1
"199",-123.378416314379,41.7374751617554,1
"200",-123.375722224379,41.7374751617554,1
"201",-123.373028134379,41.7374751617554,1
"202",-123.370334044379,41.7374751617554,1
