,pic_id,d_link,s_link_new
45,048_scat_with_beetles,https://drive.google.com/uc?id=1gXx4fVS9aUyyKoenqJjuvjCgXiPC_Vf6&export=download,https://drive.google.com/file/d/1EpuU8GcHuCTWd0PlJ40tfwI7E5Hgis60/view?usp=drivesdk
46,NA,https://drive.google.com/uc?id=0B6h76f2Zop53cmI5M2NjMjRFMzQ&export=download,NA
47,050_1,https://drive.google.com/uc?id=1OhmA_RADWWmYa370APWgaSDxVwO7AreM&export=download,https://drive.google.com/file/d/11dFVTC7dVk8dyXBEYqAKe5eWS8HlljHZ/view?usp=drivesdk
48,051_1,https://drive.google.com/uc?id=1kQWtV7K-1wC7NrFwrwV48UPAME-rncvd&export=download,https://drive.google.com/file/d/1bq2Yu8g0yKqnYpK8bO--O36PzpvXoaU8/view?usp=drivesdk
49,052_bed_track_urine_stain,https://drive.google.com/uc?id=1igsxVB39vNw3iuhtZJg_NGdRm_TvXi2h&export=download,https://drive.google.com/file/d/10kE0spwoksgSuRIbeyD9FXlXGtGvyHly/view?usp=drivesdk
50,C_053_1,https://drive.google.com/uc?id=1ycrrS7-rDLEdfjHPrPzBa2sjAI1xator&export=download,https://drive.google.com/drive/u/0/folders/1k-FDYHBupPPZYBm36zC28dR7k9vVB7Ek
51,054_herd_foraging,https://drive.google.com/uc?id=1gNHMG-8mum3aTX5xkw0_mKnImnuWaEuL&export=download,https://drive.google.com/file/d/1ycrrS7-rDLEdfjHPrPzBa2sjAI1xator/view?usp=drivesdk
52,055_herd_walking_away,https://drive.google.com/uc?id=1WTEmnti01fn-7p7PGub6qwiFUNJcB5ui&export=download,https://drive.google.com/file/d/1lA6pJb2ts3wd7cWTnY0VPApN-HMZNmMs/view?usp=drivesdk
53,056_elk_bedded_down,https://drive.google.com/uc?id=1LEha_OJHUW3U1D1PDGM_1i8hTSTKNgeO&export=download,https://drive.google.com/file/d/13JeZ8yNCnQrfKiyg823MnaDVS4cd2KSB/view?usp=drivesdk
54,should have one can't find,NA,NA
55,058_14,https://drive.google.com/uc?id=1qKyulzE3gpV8z-AZ48EmFXKSz0q5q0vS&export=download,https://drive.google.com/file/d/1fAWTBzvV6OJ_IwUOTqiDtM9CEBiYTdbH/view?usp=drivesdk
56,NA,https://drive.google.com/uc?id=0B6h76f2Zop53cmI5M2NjMjRFMzQ&export=download,NA
57,060_1,https://drive.google.com/uc?id=1cRXhfs5IE-MQHynP96mtXy0jwSf8szHq&export=download,https://drive.google.com/file/d/1YDH9KOSK5oe3qhSaTiO4aYx83KKVKK_U/view?usp=drivesdk
58,061_5,https://drive.google.com/uc?id=1VA9morNJh-kdr7JdaBdXoH7HDMgjRH8L&export=download,https://drive.google.com/file/d/1Ri6zfOb9HSk0RsMeUwzkTy4IFHeCBpFp/view?usp=drivesdk
59,NA,https://drive.google.com/uc?id=0B6h76f2Zop53cmI5M2NjMjRFMzQ&export=download,NA
60,063_1,https://drive.google.com/uc?id=1NwEL_1RyR2l4JgfN6oxr57vRP6OJbQfC&export=download,https://drive.google.com/file/d/1eW2OWFSCFs-7CyI_zjVFAulIIXtCHP07/view?usp=drivesdk
61,NA,https://drive.google.com/uc?id=0B6h76f2Zop53cmI5M2NjMjRFMzQ&export=download,NA
62,065_1,https://drive.google.com/uc?id=1_EpPJ-tJ4GdPUkwaxV5O8tprfUnoabre&export=download,https://drive.google.com/file/d/1hlu6EEgS54GXXrCJRokKZjYrpy1vlCmb/view?usp=drivesdk
63,066_3,https://drive.google.com/uc?id=1IPsFAwsh1JLBjWnUveR2NUtOn9X-QXlm&export=download,https://drive.google.com/file/d/1M8drO2kvHGNillscIDIf5zYJtTnKng2n/view?usp=drivesdk
64,NA,https://drive.google.com/uc?id=0B6h76f2Zop53cmI5M2NjMjRFMzQ&export=download,NA
65,068_3,https://drive.google.com/uc?id=1-zCHvzmPIZh4suV6KiqUgqNTq8xlFkU_&export=download,https://drive.google.com/file/d/15Sl1sbMOLsyALQzx5Op2kmifvXgfzrfd/view?usp=drivesdk
66,069_3,https://drive.google.com/uc?id=1OM-c8bBj0Ho8oF8QAVAKURjS64tv5Mw5&export=download,https://drive.google.com/file/d/1AjS9HYOVKlQS1xDEckqP4Wkgzh65x_F5/view?usp=drivesdk
67,NA,https://drive.google.com/uc?id=0B6h76f2Zop53cmI5M2NjMjRFMzQ&export=download,NA
68,071_4,NA,NA
69,072_1,https://drive.google.com/uc?id=1Euhm9Zdpe2LCP4eN9kh1LLS_rXY_Eigf&export=download,https://drive.google.com/file/d/1ZdzYcqAyjr2KfEerUzGWHquiCGIR9RT3/view?usp=drivesdk
70,NA,https://drive.google.com/uc?id=0B6h76f2Zop53cmI5M2NjMjRFMzQ&export=download,NA
71,NA,https://drive.google.com/uc?id=0B6h76f2Zop53cmI5M2NjMjRFMzQ&export=download,NA
72,NA,https://drive.google.com/uc?id=0B6h76f2Zop53cmI5M2NjMjRFMzQ&export=download,NA
73,NA,https://drive.google.com/uc?id=0B6h76f2Zop53cmI5M2NjMjRFMzQ&export=download,NA
74,NA,https://drive.google.com/uc?id=0B6h76f2Zop53cmI5M2NjMjRFMzQ&export=download,NA
75,NA,https://drive.google.com/uc?id=0B6h76f2Zop53cmI5M2NjMjRFMzQ&export=download,NA
76,NA,https://drive.google.com/uc?id=0B6h76f2Zop53cmI5M2NjMjRFMzQ&export=download,NA
77,NA,https://drive.google.com/uc?id=0B6h76f2Zop53cmI5M2NjMjRFMzQ&export=download,NA
78,NA,https://drive.google.com/uc?id=0B6h76f2Zop53cmI5M2NjMjRFMzQ&export=download,NA
79,NA,https://drive.google.com/uc?id=0B6h76f2Zop53cmI5M2NjMjRFMzQ&export=download,NA
80,NA,https://drive.google.com/uc?id=0B6h76f2Zop53cmI5M2NjMjRFMzQ&export=download,NA
81,NA,https://drive.google.com/uc?id=0B6h76f2Zop53cmI5M2NjMjRFMzQ&export=download,NA
82,NA,https://drive.google.com/uc?id=0B6h76f2Zop53cmI5M2NjMjRFMzQ&export=download,NA
83,086_1 (3): 087_1 (5),NA,NA
84,087_1,NA,NA
85,NA,https://drive.google.com/uc?id=0B6h76f2Zop53cmI5M2NjMjRFMzQ&export=download,NA
86,089_1 (1),https://drive.google.com/uc?id=1i9CqEzlQXUtARqEg7stlVqbeOTRhJjAZ&export=download,https://drive.google.com/file/d/1cR54vGNkPE-4cPBMFuSUG6Ud5usQJ206/view?usp=drivesdk
87,090_1 (1),https://drive.google.com/uc?id=1f4rVOC_4nUSDi8TeK89GHuUSNwtAnDhs&export=download,https://drive.google.com/file/d/1URu-LTxxHIu4fqWw8PV60Uamla4jratq/view?usp=drivesdk
88,091_1 (10),https://drive.google.com/uc?id=1uhuk6QrwtC1PcCGQXLCdimoMSCYD-bIB&export=download,https://drive.google.com/file/d/1p2cM0q5BY-Z99ObNrVHLzuK13k28bSrO/view?usp=drivesdk
89,092_1 (3),https://drive.google.com/uc?id=1yUfkTKuYtkwVKspZXYJCqLzJ21C5pTqx&export=download,https://drive.google.com/file/d/1DQ_xZa0_EhVAgN9zs6e00saODgm-U69W/view?usp=drivesdk
90,093_1 (3),https://drive.google.com/uc?id=1VFzm8ARcXGRqfeXCWTaXquECoYTwxCKc&export=download,https://drive.google.com/file/d/1NN6LxHSXVSLr1C4bKUzN1rvXpy-nCH3g/view?usp=drivesdk
91,NA,https://drive.google.com/uc?id=0B6h76f2Zop53cmI5M2NjMjRFMzQ&export=download,NA
92,095_1 (5),https://drive.google.com/uc?id=1rdWFonQFQuHMraEQJIjFkmvf3F5AIeyp&export=download,https://drive.google.com/file/d/1vvToUoT4q2Nj9KhHKPcLqS-LTJd5Q8uG/view?usp=drivesdk
93,096_1 (3),https://drive.google.com/uc?id=1G0JIWn7O_c683pNIguu7wJmfOkzebLbY&export=download,https://drive.google.com/file/d/1VXGgcg_cgvs5K3C4eoKE4k602kmTgNDm/view?usp=drivesdk
94,097_1 (1),https://drive.google.com/uc?id=1PH3vTpOidh2rzRBmpDuJhRoyuHN3JjzM&export=download,https://drive.google.com/file/d/1z_VNRgW1wtif8lCBHsub4aeP0P4_oFVp/view?usp=drivesdk
95,098_1 (1),https://drive.google.com/uc?id=1dHVJhCOGMzlzRY_lcNNxawZf4O3MVYnp&export=download,https://drive.google.com/file/d/1W366PIQTHozlvdKxT1lWrIhML6wEkbNt/view?usp=drivesdk
96,099_1 (1),https://drive.google.com/uc?id=1hzOPOqkycAJWw2ur0JPLaRekZOVMSkzB&export=download,https://drive.google.com/file/d/18VcTvtD_LRzU5IQwaj9vNQOXL-Ps04AI/view?usp=drivesdk
97,100_1 (1),https://drive.google.com/uc?id=1-d9wcKSLOAwKN5HQHqLnwh7Hyu9I9eBl&export=download,https://drive.google.com/file/d/1zMmivdqB9hJU-0QIVCIOUS-L-iLlhCaX/view?usp=drivesdk
98,101_1_real,https://drive.google.com/uc?id=1Z26AhW-Kor-JUd9eJmgen-_7-hWfxYgk&export=download,https://drive.google.com/file/d/1ydHmoJE8ZJ5nf65lu_v7S9fuO-VNR4Md/view?usp=drivesdk
99,102_1 (1),https://drive.google.com/uc?id=1ksqN53MVI30G8haOWnAKEaAsJj8M4GM_&export=download,https://drive.google.com/file/d/1SIoDFpLpxxvuNAHPY9fDmy9jTbDaE1KW/view?usp=drivesdk
100,NA,https://drive.google.com/uc?id=0B6h76f2Zop53cmI5M2NjMjRFMzQ&export=download,NA
101,104_1 (18),NA,NA
102,NA,https://drive.google.com/uc?id=0B6h76f2Zop53cmI5M2NjMjRFMzQ&export=download,NA
103,106_1 (2),https://drive.google.com/uc?id=1k9HNkg6K4rn6lV_2qkREMFlcJ8JdnR_z&export=download,https://drive.google.com/file/d/16s6dd61bH4Caw7PmwPt6Ajd9fcJpS9uY/view?usp=drivesdk
104,NA,https://drive.google.com/uc?id=0B6h76f2Zop53cmI5M2NjMjRFMzQ&export=download,NA
105,NA,https://drive.google.com/uc?id=0B6h76f2Zop53cmI5M2NjMjRFMzQ&export=download,NA
106,109_1 (16),NA,NA
107,110_1 (10),https://drive.google.com/uc?id=1a4W4S6Nf-g8dJqS8nY9XDWBTfHZgC6Pu&export=download,https://drive.google.com/file/d/11sXsyYXVDRKkkxtCjRiVXrnydWVXCm5U/view?usp=drivesdk
108,NA,https://drive.google.com/uc?id=0B6h76f2Zop53cmI5M2NjMjRFMzQ&export=download,NA
109,112_1 (1),https://drive.google.com/uc?id=1gA2b0FMmUs90HrJRfH2oifn1PWUSSdf0&export=download,https://drive.google.com/file/d/13arzQDsyIg2qU2BbqNJRBTghKr5Pb-sE/view?usp=drivesdk
110,113_1 (3),https://drive.google.com/uc?id=1oIw3XNvwDVAOURjPQRT5dtmI30R3xLob&export=download,https://drive.google.com/file/d/1vE7Sn2wgJUC-yyK9V-UX-WHNVPNGbMea/view?usp=drivesdk
111,NA,https://drive.google.com/uc?id=0B6h76f2Zop53cmI5M2NjMjRFMzQ&export=download,NA
112,NA,https://drive.google.com/uc?id=0B6h76f2Zop53cmI5M2NjMjRFMzQ&export=download,NA
113,116_1 (4),https://drive.google.com/uc?id=1SGAeDWLQdA8XnmfCj5NXDZYsE6qdom-R&export=download,https://drive.google.com/file/d/1H_V-TDKqBrULiqMNZrqU1RuGs-nU3H_t/view?usp=drivesdk
114,117_1 (3),https://drive.google.com/uc?id=1IqX-sb_0zUTc5h0sKSrAftfumEyc4ygo&export=download,https://drive.google.com/file/d/1ytNs1rWuIxLKzWuqIuMEui5huNykzjOv/view?usp=drivesdk
115,NA,https://drive.google.com/uc?id=0B6h76f2Zop53cmI5M2NjMjRFMzQ&export=download,NA
116,119_1 (5),NA,NA
117,NA,https://drive.google.com/uc?id=0B6h76f2Zop53cmI5M2NjMjRFMzQ&export=download,NA
118,121_1 (1),https://drive.google.com/uc?id=1eFLhGhf6SyyQzTa9aYHTvB72il3aWHh3&export=download,https://drive.google.com/file/d/12vBWRH-Zg0P1pSDLZS1q30dbPzeySm7a/view?usp=drivesdk
119,122_potential_bed (1),https://drive.google.com/uc?id=1FkuvHe9qYvrSwSqfiQyFff8TX9rdnV2N&export=download,https://drive.google.com/file/d/1Tb2ONzjxnioxuibgYX7bSafNPzjQg-mL/view?usp=drivesdk
120,NA,https://drive.google.com/uc?id=0B6h76f2Zop53cmI5M2NjMjRFMzQ&export=download,NA
121,NA,https://drive.google.com/uc?id=0B6h76f2Zop53cmI5M2NjMjRFMzQ&export=download,NA
122,125_1_ash (1),https://drive.google.com/uc?id=1TtWc8b0NC9TQ4x0LoaMPSg4Ii89Pi1L8&export=download,https://drive.google.com/file/d/1IqX-sb_0zUTc5h0sKSrAftfumEyc4ygo/view?usp=drivesdk
123,NA,https://drive.google.com/uc?id=0B6h76f2Zop53cmI5M2NjMjRFMzQ&export=download,NA
