"","x","y","layer"
"52",-123.1662114335,41.2044094969879,1
"53",-123.1635173435,41.2044094969879,1
"54",-123.1608232535,41.2044094969879,1
"55",-123.1581291635,41.2044094969879,1
"56",-123.1554350735,41.2044094969879,2
"57",-123.1527409835,41.2044094969879,2
"58",-123.1500468935,41.2044094969879,1
"59",-123.1473528035,41.2044094969879,1
"60",-123.1446587135,41.2044094969879,1
"61",-123.1419646235,41.2044094969879,1
"62",-123.1390011245,41.2044094969879,1
"63",-123.1363070345,41.2044094969879,1
"64",-123.1336129445,41.2044094969879,1
"65",-123.1309188545,41.2044094969879,1
"66",-123.1282247645,41.2044094969879,1
"67",-123.1255306745,41.2044094969879,1
"68",-123.1228365845,41.2044094969879,1
"69",-123.1201424945,41.2044094969879,1
"70",-123.1174484045,41.2044094969879,1
"71",-123.1147543145,41.2044094969879,1
"72",-123.1120602245,41.2044094969879,1
"73",-123.1093661345,41.2044094969879,1
"74",-123.1066720445,41.2044094969879,1
"75",-123.1037085455,41.2044094969879,1
"76",-123.1010144555,41.2044094969879,1
"77",-123.0983203655,41.2044094969879,1
"78",-123.0956262755,41.2044094969879,1
"79",-123.0929321855,41.2044094969879,1
"80",-123.0902380955,41.2044094969879,1
"81",-123.0875440055,41.2044094969879,1
"82",-123.0848499155,41.2044094969879,1
"83",-123.0821558255,41.2044094969879,1
"84",-123.0794617355,41.2044094969879,1
"85",-123.0767676455,41.2044094969879,1
"86",-123.0740735555,41.2044094969879,1
"87",-123.0713794655,41.2044094969879,1
"88",-123.0686853755,41.2044094969879,1
"89",-123.0657218765,41.2044094969879,1
"90",-123.0630277865,41.2044094969879,1
"91",-123.0603336965,41.2044094969879,1
"92",-123.0576396065,41.2044094969879,1
"93",-123.0549455165,41.2044094969879,1
"94",-123.0522514265,41.2044094969879,1
"95",-123.0495573365,41.2044094969879,1
"96",-123.0468632465,41.2044094969879,1
"97",-123.0441691565,41.2044094969879,1
"98",-123.0414750665,41.2044094969879,1
"99",-123.0387809765,41.2044094969879,1
"100",-123.0360868865,41.2044094969879,1
"101",-123.0333927965,41.2044094969879,1
"102",-123.0304292975,41.2044094969879,1
"103",-123.0277352075,41.2044094969879,1
"104",-123.0250411175,41.2044094969879,1
"105",-123.0223470275,41.2044094969879,1
"106",-123.0196529375,41.2044094969879,1
"107",-123.0169588475,41.2044094969879,1
"108",-123.0142647575,41.2044094969879,1
"109",-123.0115706675,41.2044094969879,1
"110",-123.0088765775,41.2044094969879,1
"111",-123.0061824875,41.2044094969879,1
"112",-123.0034883975,41.2044094969879,1
"113",-123.0007943075,41.2044094969879,1
"114",-122.9981002175,41.2044094969879,1
"115",-122.9954061275,41.2044094969879,1
"116",-122.9924426285,41.2044094969879,1
"117",-122.9897485385,41.2044094969879,1
"118",-122.9870544485,41.2044094969879,1
"119",-122.9843603585,41.2044094969879,1
"120",-122.9816662685,41.2044094969879,1
"121",-122.9789721785,41.2044094969879,1
"122",-122.9762780885,41.2044094969879,1
"123",-122.9735839985,41.2044094969879,1
"124",-122.9708899085,41.2044094969879,1
"125",-122.9681958185,41.2044094969879,1
"126",-122.9655017285,41.2044094969879,1
"127",-122.9628076385,41.2044094969879,1
"128",-122.9601135485,41.2044094969879,1
"129",-122.9571500495,41.2044094969879,1
"130",-122.9544559595,41.2044094969879,1
"131",-122.9517618695,41.2044094969879,1
"132",-122.9490677795,41.2044094969879,1
"133",-122.9463736895,41.2044094969879,1
"134",-122.9436795995,41.2044094969879,1
"135",-122.9409855095,41.2044094969879,1
"136",-123.3046876595,41.2017154069879,1
"137",-123.3019935695,41.2017154069879,2
"138",-123.2992994795,41.2017154069879,2
"139",-123.2966053895,41.2017154069879,2
"140",-123.2939112995,41.2017154069879,2
"141",-123.2912172095,41.2017154069879,1
"142",-123.2885231195,41.2017154069879,3
"143",-123.2855596205,41.2017154069879,2
"144",-123.2828655305,41.2017154069879,2
"145",-123.2801714405,41.2017154069879,2
