"","x","y"
"13910",-124.113632366152,41.9300190866791
"20167",-123.432697538734,41.4895191087917
"19866",-123.417776007455,41.5070486834293
"22993",-123.522075794511,41.4581625219962
"403",-123.137014521197,41.0696143119544
"20331",-123.43183237911,41.4999439576247
"23589",-123.372805585222,41.5092209061538
"4421",-124.075984535604,41.0202450078615
"2682",-123.00703927436,41.1131686208098
"16523",-123.40176220634,41.7016356091198
"2723",-122.998403880526,41.1162315649413
"15208",-123.897290460894,41.1574974738231
"9020",-123.127522609636,41.1469054073287
"609",-123.146476201595,41.0798268875671
"17144",-123.429713129179,41.6756660227536
"25268",-123.518181919981,41.4879317375189
"14832",-123.852834993054,41.1069766393315
"8247",-123.074072326919,41.1124153718645
"4504",-124.082222676366,41.0075213637758
"28932",-123.441275614367,41.667623859372
"10761",-123.166017691345,41.0537308645805
"20866",-123.528225052211,41.4589991668703
"4627",-124.012075952241,40.9609383937719
"969",-123.154230219021,41.0509817394823
"14285",-124.101632640137,41.9181740823519
"18253",-123.497894695958,41.4573329470247
"7779",-123.117243755268,41.096399206963
"29611",-123.397915211072,41.695623232716
"14680",-123.890015922342,41.1633549637901
"10849",-123.126704674125,41.0376021286227
"11640",-123.101935242856,41.0687228440519
"5771",-123.866081627045,41.1371263697459
"15366",-123.86616695585,41.141800817848
"10375",-123.074076651367,41.1374487182753
"19731",-123.412800703938,41.4896733052479
"23495",-123.361742059335,41.5108055117101
"11583",-123.077532523549,41.0669672441956
"13895",-124.105833574547,41.9358857062617
"29973",-123.360795842917,41.6488274516842
"13783",-124.092954660547,41.9353965860441
"12764",-123.87902279335,41.1399198719995
"6078",-123.871269281763,41.1086583049825
"16200",-123.449951130528,41.7145533545426
"27192",-123.538834749089,41.4880350025002
"28765",-123.447551879001,41.678867535641
"12347",-123.126564624654,41.1010915639974
"2619",-123.079962250594,41.0781356578088
"8755",-123.165861730742,41.0674414765205
"14414",-123.872198028332,41.1581135865868
"16724",-123.406915025864,41.6229038006533
"4540",-124.042756048908,41.0030658915898
"9373",-123.093976668143,41.0634328264291
"9660",-123.114192742256,41.0673691382123
"20780",-123.523552409605,41.4824579216826
"12086",-123.157571463628,41.0598952855874
"15748",-123.360073055538,41.5469573931563
"17924",-123.504679413719,41.4722287522859
"1505",-123.054770657885,41.0903563693891
"16272",-123.451081728672,41.6647575442286
"20450",-123.524757103949,41.4773722364705
"1295",-123.087070223105,41.1329986736904
"13511",-123.898085818692,41.1345572650923
"26501",-123.395281485401,41.5124515747421
"20925",-123.490190160377,41.4597710324294
"1157",-123.111736869461,41.0509677154641
"20091",-123.424471646967,41.4974672941391
"5274",-123.892782165357,41.1520016880124
"1063",-123.141743203572,41.0655729506852
"4573",-123.985459942787,40.9267218678949
"14350",-124.119806618338,41.9147829070588
"2616",-123.086672358973,41.0750860624115
"11096",-123.075206615721,41.0730853046778
"16939",-123.382389574484,41.7079796571301
"21186",-123.518432158376,41.507296546288
"23259",-123.355435512846,41.512392464879
"25125",-123.49863251497,41.5083028473035
"18202",-123.495772558006,41.4522438771288
"9241",-123.179575077143,41.0549176287444
"28904",-123.442696600443,41.661124229701
"29350",-123.436274196444,41.6616531880289
"26373",-123.380191947412,41.5550803169484
"891",-123.139096238005,41.0577030627323
"25093",-123.475616367106,41.5070672359245
