lon,lat
-123.5064839,41.46711359
-123.3858175,41.51297011
-123.5405036,41.49857486
-123.049262,41.11184313
-123.8638568,41.12465814
-123.480233,41.5010311
-123.5438349,41.47142878
-123.394158,41.68844849
-123.9038821,41.13671886
-124.129431,41.91146427
-123.4851112,41.49002158
-123.8724747,41.14661746
-123.487845,41.44881889
-124.1318705,41.92737293
-123.492465,41.46449024
-123.4332965,41.49491231
-123.3591064,41.6430231
-123.0502527,41.08342219
-123.3742224,41.69455892
-124.1142083,41.93469693
-124.1349614,41.93300755
-123.1204856,41.03930233
-123.1476553,41.04815278
-123.0919355,41.10183604
-124.1396877,41.93695965
-123.3489641,41.62823745
-123.4708845,41.45759981
-123.5609542,41.52066212
-123.523821,41.51133446
-124.1289418,41.91723331
-123.8355309,41.08163793
-123.1970615,41.05258297
-124.0979768,41.93142179
-124.0997092,41.89955781
-123.3473849,41.63372764
-123.1804492,41.061267
-123.4213064,41.69454007
-123.456423,41.67099643
-123.3708251,41.61353225
-124.1169594,41.9015619
-123.5151588,41.49191759
-123.4861926,41.63444934
-123.0915084,41.13736413
-124.1140626,41.91662209
-123.8734387,41.10070589
-124.1229362,41.93234223
-123.3666114,41.68539617
-123.1304447,41.06990119
-123.8844042,41.1697397
-124.1224217,41.9257004
-123.0647531,41.08293752
-123.1079474,41.06951909
-123.0136974,41.1133662
-123.1250031,41.04372054
-123.1328834,41.05739511
-124.0982513,41.93757967
-122.9884204,41.12607679
-124.0785101,41.93933397
-123.4396011,41.65455187
-123.1544566,41.04600893
-123.0815125,41.07063981
-123.1062945,41.08523979
-123.4571768,41.71300264
-123.1735816,41.07464561
-123.8553016,41.13368483
-123.9817899,40.90183654
-123.0958288,41.06848486
-123.100152,41.06231962
-123.4258655,41.66060236
-123.1100754,41.07507509
-123.8629265,41.10729784
-123.5312489,41.47885569
-123.1152879,41.08790655
-123.0970276,41.10668721
-123.8810104,41.10144995
-123.3860487,41.70078876
-123.477174,41.49399103
-123.1252268,41.08642786
-123.4343331,41.66592994
-123.3813843,41.52536107
-123.0973299,41.1581138
-123.1634138,41.04501469
-124.128604,41.92269463
-123.123804,41.07051206
-124.048934,40.98923655
-124.0202212,40.95665081
-123.1039624,41.13146231
-123.5088643,41.462167
-123.9224713,41.16152323
-123.114032,41.05698291
-123.3740752,41.63801238
-123.133832,41.14370041
-123.3832317,41.64936733
-123.9153241,41.16012098
-123.8494965,41.09836269
-123.3934497,41.56021494
-123.5088233,41.498269
-123.1942039,41.06821694
-123.0421109,41.10436927
-123.0921267,41.12787818
-124.1055152,41.93071899
-123.4734649,41.64905809
-123.4282885,41.6655563
-123.9163779,41.13907928
-124.085102,41.95033193
-123.0927676,41.07536958
-123.499522,41.49775131
-124.0752578,41.93531151
-123.8595085,41.14290462
-123.4156549,41.68469785
-123.3897934,41.51851427
-123.4308683,41.48464394
-123.3779975,41.53449673
-123.5681042,41.49402821
-123.4031298,41.52388174
-124.1114865,41.92313182
-123.8442494,41.10055416
-123.1253507,41.06387139
-123.4433058,41.69389888
-123.8674456,41.10408411
-123.4482197,41.70584126
-123.1308779,41.09029506
-123.8995875,41.16248791
-123.108307,41.14348402
-124.130681,41.93719282
-123.0928064,41.08603515
-123.051984,41.07462049
-123.5630387,41.50396126
-123.8312292,41.08509208
-123.8423148,41.08987587
-123.4582863,41.66101809
-124.0675443,40.98809283
-123.8653589,41.15466112
-123.5625862,41.49874819
-123.07098,41.11649797
-123.2021919,41.05697006
-123.8386045,41.11176523
-123.4950742,41.47691834
-123.4852155,41.47188014
-123.1900922,41.05397292
-123.3784655,41.70088604
-123.0329765,41.10429117
-123.4114258,41.703601
-123.9900912,40.9091613
-123.0766875,41.08750632
-123.4503703,41.49515297
-123.5524488,41.46896473
-123.8521454,41.10245976
-124.0498632,40.98261619
-124.1242316,41.88520691
-123.3995432,41.50393385
-123.3816402,41.64016726
-123.3580766,41.55236804
-123.4910671,41.64393121
-124.0979555,41.91189566
-123.4031681,41.6457593
-123.1973508,41.07374258
-124.1199799,41.90952135
-124.0419389,41.00855917
-123.3487117,41.53676904
-124.0746724,41.92846296
-123.3915636,41.69458221
-123.3532093,41.62300029
-123.4199208,41.65147293
-124.0870948,41.9398024
-123.3556516,41.5409092
-123.4216842,41.68430659
-123.0275258,41.11307547
-123.0796398,41.09702587
-123.082774,41.06100021
-123.9894194,40.93179559
-123.3964184,41.5180863
-124.0859021,41.88511644
-123.8939093,41.14373274
-123.4239253,41.48901133
-123.8404973,41.11915595
-123.4107565,41.5187926
-124.0777909,41.00410382
-123.5487008,41.46191181
-123.1328403,41.04777445
-123.133554,41.06534852
-123.1436222,41.03749221
-123.5360038,41.47303283
-123.4408877,41.50840359
-123.1099664,41.0810746
-123.8567839,41.08276099
-124.1079237,41.90191964
-123.8902323,41.16789324
-123.4564846,41.70351191
-123.4442045,41.6847892
-123.4754234,41.44789809
-123.9065499,41.16691922
-123.1202281,41.10700765
-123.8726837,41.13631988
-124.1220238,41.8781943
-123.8741404,41.12577861
-123.3848651,41.53831109
-124.0524005,41.00014972
-124.0912087,41.92425402
-123.3530889,41.66033555
-123.3540989,41.64736209
-124.1174161,41.89318128
-123.3701595,41.54744779
-124.0821908,41.0179259
-124.1313907,41.90499624
-123.5325139,41.46512248
-124.0697277,41.00770107
-124.0740458,41.946464
-123.9985347,40.92660037
-124.1236859,41.88983266
-123.4948752,41.48538619
-123.086541,41.04755728
-123.4215023,41.63984786
-123.1646946,41.07194721
-124.0850666,41.93187778
-123.9877497,40.92097308
-123.3939988,41.52225603
-123.3876408,41.70573731
-123.8799811,41.09481896
-123.0735591,41.13283694
-124.005709,40.96266061
-123.4956929,41.51408029
-123.1017286,41.08910839
-123.0118761,41.11913156
-124.1124586,41.88952768
-124.0064604,40.95815
-123.8469634,41.11808169
-123.057275,41.06750156
-124.1020482,41.89466278
-123.4153842,41.52278427
